id;nom;caracteristique;de_base;groupee
1;Bedfordshire Fresh Guadeloupe;Wooden withdrawal Rubber;true;true
2;Credit Card Account SAS Bike;Health optimal;false;true
3;Bacon;Sports fault-tolerant SDD;false;true
4;Auto Loan Account wireless;Infrastructure;true;false
5;Orchestrator strategize primary;Manager context-sensitive;false;true
6;Rubber Ameliorated;Zimbabwe;true;true
7;Auto Loan Account Home Loan Account Handcrafted;e-enable Virtual De-engineered;false;true
8;Forward Auto Loan Account Soap;Mountain;true;true
9;RAM Music;Face to face Bouvet Island (Bouvetoya) target;false;false
10;eyeballs;Cotton Investment Account;false;true
