id;nom;niveau;cc;ct;fo;en;ini;ag;dex;inte;fm;soc;statut
1;Latvia;17686;true;false;true;false;true;true;false;true;true;false;Intelligent
2;infomediaries hub;88582;true;true;true;false;false;true;true;true;true;false;Interactions Forward THX
3;connecting Hawaii;13328;true;false;false;false;true;true;true;true;false;false;AI
4;1080p;49301;false;false;false;false;true;true;false;false;false;false;exuding Usability Malagasy Ariary
5;override Ouguiya;66843;true;true;false;true;true;false;false;false;true;false;Indian Rupee Ngultrum
6;Central Group lavender;61507;true;false;false;false;false;true;false;true;true;true;indexing primary feed
7;scalable;178;false;false;true;false;true;false;true;true;true;true;Practical Granite Fish
8;Architect Investment Account;58309;false;false;false;true;true;true;false;true;false;true;Rest
9;Home Loan Account pixel;72670;false;false;true;true;false;true;true;true;true;false;panel
10;copying sensor open-source;28151;true;true;false;true;true;false;true;true;true;false;Strategist orange Intranet
