id;cc;ct;fo;en;ini;ag;dex;inte;fm;soc;destin;resilience;experience;mouvement;points_suplementaires;blessures;nom
1;77469;62937;38454;80520;26601;34751;45188;58374;78411;79275;25387;67351;54597;41675;70022;9194;Inlet
2;59097;14214;68552;61240;85486;99166;36515;74690;47203;89004;9447;98845;56791;72113;85217;57216;Persevering strategize
3;30309;82112;91565;43346;86348;64859;6090;34998;64502;45396;96389;3599;10353;12294;55574;10602;invoice dot-com Frozen
4;13205;63579;2878;13393;21852;53232;91632;75287;84479;4033;98466;85764;38338;12528;95127;37963;Sausages Ergonomic payment
5;49990;4898;81387;90696;58326;89240;93133;80079;14628;24321;22676;75606;73141;15491;7484;71338;Functionality Plastic Incredible Plastic Tuna
6;78425;63298;40996;65248;68899;10868;17467;23603;79796;71739;42105;43382;97674;28174;75337;63375;Electronics mindshare invoice
7;62349;76332;50886;99838;59896;94152;3574;93731;20529;25117;73953;11791;97180;44641;44857;49551;Cambridgeshire
8;71738;7816;21453;94808;35659;29334;76210;91597;73593;72628;15137;65431;69240;48647;50845;65317;hard drive Fresh
9;82066;34054;41339;35375;43940;32543;25240;21027;66229;77018;2465;25418;83539;34474;28413;2539;Leone
10;41111;41668;48974;57746;89577;98997;56354;59163;22287;87458;99389;12952;42786;3132;85290;90429;pixel schemas
