id;nom;maxi;test;description
1;productize Enterprise-wide Refined Wooden Chair;50042;Computer primary cyan;Frozen Direct turquoise
2;Unbranded compress;34489;AGP;XML Polarised
3;wireless Sports;93027;Courts Automotive;Garden
4;intuitive generating;3751;motivating;web-readiness Extended
5;Armenia Manager;50451;Rustic cyan Producer;feed Utah
6;relationships Home;41141;olive Dobra;application Response Refined Fresh Pizza
7;Bosnia and Herzegovina encryption;25013;Lithuanian Litas real-time;secondary high-level implement
8;Checking Account architecture Robust;8772;Loop;tan streamline Generic Fresh Chips
9;multi-byte User-centric application;90456;withdrawal;embrace matrix Money Market Account
10;haptic Mouse;21551;Plains;Data JSON
